Order ID,Sale date,Brand,Category,Sub- Category,Product Name,Sale price,Quantity,GST,Growth %,City,Region,State
ORD100024,30-11-2023,Antiquity Blue,Brandy,Cognac,Martell VS,1456.81,7,815.61,1.8,Delhi,North,Delhi
ORD100025,26-10-2022,Kingfisher,Whisky,Blended,Imperial Blue,307.3,6,94.31,16.51,Madurai,South,Tamil Nadu
ORD100026,12-01-2024,Blenders Pride,Brandy,Regular Brandy,McDowell No.1 Brandy,1617.13,4,576.67,2.73,Mysuru,South,Karnataka
ORD100027,26-10-2021,Blenders Pride,Vodka,Flavored Vodka,Smirnoff Green Apple,1957.01,6,905.98,-4.07,Howrah,East,West Bengal
ORD100028,13-11-2021,Blenders Pride,Vodka,Classic Vodka,Absolut Blue,1813.97,2,372.78,2.56,Mysuru,South,Karnataka
ORD100029,22-07-2023,Blenders Pride,Whisky,Scotch,Chivas Regal 12,1516.42,7,943.26,3.45,Howrah,East,West Bengal
ORD100030,14-12-2021,Bira 91,Brandy,Cognac,Hennessy VS,2330.48,6,2070.13,0.63,Ludhiana,North,Punjab
ORD100031,05-07-2021,Kingfisher,Vodka,Flavored Vodka,Magic Moments Orange,601.55,12,1122.89,-4.98,Nagpur,West,Maharashtra
ORD100032,19-01-2022,Old Monk,Brandy,Cognac,Martell VS,180.15,11,312.44,12.75,Bengaluru,South,Karnataka
ORD100033,03-07-2024,Royal Stag,Vodka,Classic Vodka,Magic Moments,2125.44,4,1342.52,-6.39,Coimbatore,South,Tamil Nadu
ORD100034,30-11-2021,Old Monk,Rum,White Rum,Havana Club Anejo 3,354.54,11,376.88,-2.4,Bengaluru,South,Karnataka
ORD100035,22-08-2024,Royal Stag,Rum,Dark Rum,McDowell’s Celebration,1502.91,4,503.55,-0.8,Delhi,North,Delhi
ORD100036,21-04-2021,Budweiser,Brandy,Cognac,Remy Martin VSOP,1333.83,12,2186.11,1.21,Amritsar,North,Punjab
ORD100037,14-03-2024,Antiquity Blue,Beer,Strong Beer,Kingfisher Strong,2297.07,10,3718.95,4.62,Mumbai,West,Maharashtra
ORD100038,10-03-2025,Kingfisher,Beer,Strong Beer,Knock Out,1056.1,11,1495.22,12.64,Chennai,South,Tamil Nadu
ORD100039,05-03-2022,Blenders Pride,Rum,White Rum,Malibu,1475.55,1,175.38,6.59,Kolkata,East,West Bengal
ORD100040,11-12-2021,Blenders Pride,Beer,Strong Beer,Thunderbolt,1991.34,9,922.96,12.22,Nagpur,West,Maharashtra
ORD100041,28-01-2022,Blenders Pride,Vodka,Classic Vodka,Absolut Blue,2347.93,5,1716.04,0.53,Mangalore,South,Karnataka
ORD100042,13-11-2020,Kingfisher,Vodka,Flavored Vodka,Absolut Raspberry,2111.38,3,514.64,22.43,Madurai,South,Tamil Nadu
ORD100043,02-12-2021,Royal Stag,Brandy,Regular Brandy,Mansion House,1019.8,10,1146.64,0.75,Delhi,North,Delhi
ORD100044,31-12-2021,Blenders Pride,Brandy,Regular Brandy,McDowell No.1 Brandy,1276.26,1,140.23,-4.8,Jalandhar,North,Punjab
ORD100045,28-07-2022,Antiquity Blue,Rum,Dark Rum,Captain Morgan,870.35,8,832.41,20.75,Kolkata,East,West Bengal
ORD100046,05-11-2023,McDowell No.1,Rum,White Rum,Bacardi Carta Blanca,565.22,10,702.42,23.4,Mysuru,South,Karnataka
ORD100047,12-02-2024,Old Monk,Beer,Strong Beer,Kingfisher Strong,705.94,5,283.7,-14.91,Delhi,North,Delhi
ORD100048,18-04-2021,Budweiser,Vodka,Flavored Vodka,Smirnoff Green Apple,855.82,3,131.62,15.87,Mangalore,South,Karnataka
ORD100049,12-10-2021,Blenders Pride,Brandy,Regular Brandy,Old Admiral,2291.18,5,1333.95,21.93,Amritsar,North,Punjab
ORD100050,16-01-2021,McDowell No.1,Vodka,Classic Vodka,Absolut Blue,2057.53,11,3788.76,17.31,Jalandhar,North,Punjab
ORD100051,10-11-2022,Blenders Pride,Beer,Strong Beer,Thunderbolt,138.07,1,12.3,-8.81,Mysuru,South,Karnataka
ORD100052,04-02-2021,Budweiser,Whisky,Single Malt,Paul John Brilliance,2166.59,3,351.09,-11.46,Mysuru,South,Karnataka
ORD100053,31-07-2023,Bira 91,Beer,Strong Beer,Knock Out,1372.5,12,2593.09,10.28,Madurai,South,Tamil Nadu
ORD100054,05-06-2021,Blenders Pride,Brandy,Cognac,Hennessy VS,2491.61,6,958.73,-12.99,Kolkata,East,West Bengal
ORD100055,20-09-2022,Royal Stag,Brandy,Cognac,Remy Martin VSOP,1541.03,7,1132.34,-10.18,Delhi,North,Delhi
ORD100056,29-11-2020,Bira 91,Whisky,Scotch,Glenfiddich 12,947.12,2,224.88,18.61,Madurai,South,Tamil Nadu
ORD100057,12-04-2023,Royal Stag,Beer,Mild Beer,Bira 91 Blonde,1287.16,7,1342.36,19.83,Jalandhar,North,Punjab
ORD100058,14-08-2020,Blenders Pride,Rum,Dark Rum,Captain Morgan,194.45,12,193.15,-14.65,Nagpur,West,Maharashtra
ORD100059,07-05-2025,Antiquity Blue,Vodka,Classic Vodka,Smirnoff No.21,918.4,10,1022.23,-7.25,Pune,West,Maharashtra
ORD100060,13-05-2022,Bira 91,Rum,Dark Rum,Captain Morgan,509.7,8,264.99,17.83,Delhi,North,Delhi
ORD100061,06-06-2024,Bira 91,Whisky,Single Malt,Amrut Fusion,197.17,8,228.53,1.73,Delhi,North,Delhi
ORD100062,29-06-2024,Antiquity Blue,Whisky,Scotch,Glenfiddich 12,474.98,8,216.47,-0.9,Jalandhar,North,Punjab
ORD100063,23-03-2021,Bira 91,Brandy,Cognac,Martell VS,1250.13,12,2373.77,-10.26,Howrah,East,West Bengal
ORD100064,12-06-2020,Kingfisher,Beer,Strong Beer,Knock Out,2418.79,10,2782.69,-11.68,Amritsar,North,Punjab
ORD100065,19-11-2020,Bira 91,Rum,Dark Rum,McDowell’s Celebration,1673.32,4,375.4,20.94,Delhi,North,Delhi
ORD100066,18-08-2022,Royal Stag,Brandy,Regular Brandy,Old Admiral,662.28,3,283.06,23.92,Delhi,North,Delhi
ORD100067,05-06-2020,Old Monk,Brandy,Regular Brandy,Old Admiral,288.59,12,320.02,7.67,Kolkata,East,West Bengal
ORD100068,27-04-2025,Bira 91,Vodka,Classic Vodka,Absolut Blue,1276.17,7,461.03,8.82,Jalandhar,North,Punjab
ORD100069,21-09-2020,Blenders Pride,Whisky,Single Malt,Amrut Fusion,2097.98,4,474.18,22.08,Madurai,South,Tamil Nadu
ORD100070,10-03-2021,Blenders Pride,Brandy,Regular Brandy,Old Admiral,1483.24,7,1725.57,15.46,Delhi,North,Delhi
ORD100071,28-02-2022,Old Monk,Brandy,Cognac,Hennessy VS,1056.44,7,948.34,14.17,Howrah,East,West Bengal
ORD100072,22-10-2024,Royal Stag,Brandy,Cognac,Hennessy VS,1927.69,1,205.37,13.29,Howrah,East,West Bengal
ORD100073,05-06-2020,Antiquity Blue,Brandy,Cognac,Martell VS,2104.66,1,173.71,21.55,Kolkata,East,West Bengal
ORD100074,25-07-2023,Bira 91,Beer,Strong Beer,Kingfisher Strong,1324.01,1,185.87,23,Bengaluru,South,Karnataka
ORD100075,15-10-2024,Blenders Pride,Brandy,Regular Brandy,Old Admiral,672.98,11,806.05,-13.28,Delhi,North,Delhi
ORD100076,17-08-2022,Blenders Pride,Rum,White Rum,Malibu,2231.71,7,2766.59,13.23,Madurai,South,Tamil Nadu
ORD100077,01-07-2024,McDowell No.1,Beer,Mild Beer,Kingfisher Premium,406,2,83.01,-4.55,Mumbai,West,Maharashtra
ORD100078,23-05-2024,McDowell No.1,Rum,White Rum,Malibu,198.73,5,146.9,23.14,Amritsar,North,Punjab
ORD100079,27-03-2023,Royal Stag,Beer,Mild Beer,Kingfisher Premium,2336.88,11,3488.98,3.89,Amritsar,North,Punjab
ORD100080,08-01-2024,McDowell No.1,Brandy,Regular Brandy,McDowell No.1 Brandy,1735.46,2,316.66,-8.45,Amritsar,North,Punjab
ORD100081,25-03-2023,McDowell No.1,Brandy,Cognac,Hennessy VS,605.25,12,398.88,17.86,Howrah,East,West Bengal
ORD100082,09-07-2023,Antiquity Blue,Beer,Mild Beer,Budweiser,1831.51,3,822.58,-10.16,Delhi,North,Delhi
ORD100083,14-04-2023,Kingfisher,Beer,Strong Beer,Thunderbolt,884.49,2,198.98,17.59,Siliguri,East,West Bengal
ORD100084,18-01-2023,Antiquity Blue,Beer,Strong Beer,Kingfisher Strong,1714.13,4,1197.95,10.47,Howrah,East,West Bengal
ORD100085,28-05-2022,Old Monk,Vodka,Classic Vodka,Magic Moments,769.1,11,1151.31,-12.09,Nagpur,West,Maharashtra
ORD100086,10-06-2023,Bira 91,Vodka,Flavored Vodka,Smirnoff Green Apple,171.16,12,265.96,-12.17,Ludhiana,North,Punjab
ORD100087,04-10-2023,Blenders Pride,Brandy,Regular Brandy,Mansion House,420.63,4,137.43,-13.75,Amritsar,North,Punjab
ORD100088,02-08-2023,McDowell No.1,Beer,Mild Beer,Bira 91 Blonde,2207.6,5,1957.93,16.6,Madurai,South,Tamil Nadu
ORD100089,07-11-2020,Old Monk,Brandy,Regular Brandy,McDowell No.1 Brandy,1451.21,6,666.9,-7.06,Kolkata,East,West Bengal
ORD100090,25-05-2023,McDowell No.1,Vodka,Flavored Vodka,Magic Moments Orange,126.51,7,147.44,-10.65,Mangalore,South,Karnataka
ORD100091,06-03-2023,Bira 91,Vodka,Flavored Vodka,Smirnoff Green Apple,1977.15,9,1462.25,7.68,Howrah,East,West Bengal
ORD100092,21-03-2021,Blenders Pride,Brandy,Cognac,Hennessy VS,634.94,10,900.74,-2.89,Bengaluru,South,Karnataka
ORD100093,23-05-2020,Kingfisher,Whisky,Blended,Blenders Pride Reserve,1981.83,7,794.83,11.37,Chennai,South,Tamil Nadu
ORD100094,02-04-2024,Budweiser,Brandy,Regular Brandy,McDowell No.1 Brandy,1781.7,1,244.36,-3.77,Mumbai,West,Maharashtra
ORD100095,14-10-2023,McDowell No.1,Vodka,Flavored Vodka,Magic Moments Orange,469.53,2,84.75,-7.27,Siliguri,East,West Bengal
ORD100096,19-07-2021,Kingfisher,Beer,Strong Beer,Knock Out,838.58,10,690.72,2.56,Mangalore,South,Karnataka
ORD100097,01-08-2020,Budweiser,Brandy,Regular Brandy,Mansion House,706.07,8,352.91,0.97,Howrah,East,West Bengal
ORD100098,30-05-2021,Royal Stag,Rum,Dark Rum,McDowell’s Celebration,518.77,1,57.91,14.33,Delhi,North,Delhi
ORD100099,17-11-2024,Antiquity Blue,Whisky,Single Malt,Amrut Fusion,1492.14,11,2582.67,22.33,Delhi,North,Delhi
ORD100100,29-09-2022,McDowell No.1,Beer,Strong Beer,Knock Out,2267.08,8,1516.02,10.44,Mumbai,West,Maharashtra
ORD100101,25-06-2022,Bira 91,Rum,White Rum,Bacardi Carta Blanca,1379.73,9,1136.31,2.29,Jalandhar,North,Punjab
ORD100102,02-07-2023,Royal Stag,Rum,Dark Rum,Captain Morgan,330.65,12,254.19,4.76,Jalandhar,North,Punjab
ORD100103,18-03-2024,McDowell No.1,Beer,Mild Beer,Kingfisher Premium,1958.05,12,2781.31,22.75,Nagpur,West,Maharashtra
ORD100104,29-05-2024,Royal Stag,Vodka,Flavored Vodka,Absolut Raspberry,2310.16,7,2075.52,3.76,Coimbatore,South,Tamil Nadu
ORD100105,29-09-2024,Bira 91,Beer,Strong Beer,Knock Out,942.38,2,252.07,13.34,Pune,West,Maharashtra
ORD100106,18-11-2023,Old Monk,Brandy,Cognac,Hennessy VS,1537.62,1,263.68,-7.03,Jalandhar,North,Punjab
ORD100107,18-12-2021,Bira 91,Brandy,Regular Brandy,McDowell No.1 Brandy,1393.1,8,1100.16,1.2,Mumbai,West,Maharashtra
ORD100108,23-05-2020,Bira 91,Beer,Strong Beer,Kingfisher Strong,1001.73,2,206.59,-9.63,Mumbai,West,Maharashtra
ORD100109,08-02-2023,Old Monk,Brandy,Regular Brandy,Old Admiral,2174.92,7,894.05,8.53,Mumbai,West,Maharashtra
ORD100110,04-07-2020,Antiquity Blue,Brandy,Cognac,Martell VS,915.55,6,648.29,20.37,Mumbai,West,Maharashtra
ORD100111,07-06-2023,Kingfisher,Whisky,Scotch,Ballantine’s Finest,1304.22,9,1912.62,0.42,Howrah,East,West Bengal
ORD100112,03-10-2020,Blenders Pride,Vodka,Flavored Vodka,Magic Moments Orange,1980.44,1,335.2,-0.16,Delhi,North,Delhi
ORD100113,19-02-2023,Old Monk,Whisky,Single Malt,Paul John Brilliance,2249.74,12,3805.01,2.71,Delhi,North,Delhi
ORD100114,23-02-2024,Budweiser,Vodka,Classic Vodka,Absolut Blue,1373.56,6,1363.07,-5.36,Nagpur,West,Maharashtra
ORD100115,09-05-2022,Bira 91,Rum,Dark Rum,Captain Morgan,2091.94,3,1047.92,-8.21,Nagpur,West,Maharashtra
ORD100116,27-06-2024,Antiquity Blue,Rum,Dark Rum,McDowell’s Celebration,2092.45,7,736.49,12.84,Mangalore,South,Karnataka
ORD100117,09-10-2023,Royal Stag,Brandy,Cognac,Hennessy VS,349.12,5,248.88,-6.42,Amritsar,North,Punjab
ORD100118,21-01-2021,Blenders Pride,Whisky,Scotch,Chivas Regal 12,2148.81,9,1963,-6.22,Bengaluru,South,Karnataka
ORD100119,01-05-2023,Bira 91,Brandy,Cognac,Martell VS,1796.82,10,949.5,9.84,Amritsar,North,Punjab
ORD100120,03-01-2024,McDowell No.1,Beer,Strong Beer,Thunderbolt,1762.95,5,617.12,-14.69,Madurai,South,Tamil Nadu
ORD100121,01-06-2024,Bira 91,Vodka,Flavored Vodka,Magic Moments Orange,545.19,8,680.41,16.91,Mumbai,West,Maharashtra
ORD100122,22-03-2021,Budweiser,Vodka,Flavored Vodka,Absolut Raspberry,2131.59,7,1029.72,20.32,Mysuru,South,Karnataka
ORD100123,22-08-2023,Blenders Pride,Whisky,Blended,Imperial Blue,141.91,2,48.85,21.83,Jalandhar,North,Punjab
ORD100124,13-11-2022,Blenders Pride,Brandy,Cognac,Martell VS,957.55,5,442.39,1.34,Nagpur,West,Maharashtra
ORD100125,10-01-2022,McDowell No.1,Rum,White Rum,Bacardi Carta Blanca,2475.95,9,1939.5,-2.09,Howrah,East,West Bengal
ORD100126,01-08-2021,Bira 91,Rum,White Rum,Bacardi Carta Blanca,1569.43,7,1406.53,18.36,Amritsar,North,Punjab
ORD100127,15-10-2024,Royal Stag,Vodka,Classic Vodka,Smirnoff No.21,821.02,3,405.21,21.02,Pune,West,Maharashtra
ORD100128,25-03-2025,McDowell No.1,Whisky,Scotch,Chivas Regal 12,435.61,9,439.82,23.34,Ludhiana,North,Punjab
ORD100129,28-08-2024,Blenders Pride,Rum,White Rum,Havana Club Anejo 3,2387.48,1,154.8,-5.21,Howrah,East,West Bengal
ORD100130,20-08-2020,Budweiser,Whisky,Scotch,Glenfiddich 12,1727.89,7,2084.18,2.23,Mumbai,West,Maharashtra
ORD100131,15-06-2021,McDowell No.1,Brandy,Regular Brandy,Mansion House,1000.44,6,783,2.83,Nagpur,West,Maharashtra
ORD100132,07-08-2024,Kingfisher,Vodka,Classic Vodka,Absolut Blue,1967.63,6,885.8,15.78,Howrah,East,West Bengal
ORD100133,08-02-2021,Budweiser,Beer,Strong Beer,Kingfisher Strong,820.93,8,988.63,6.42,Delhi,North,Delhi
ORD100134,06-12-2022,Blenders Pride,Brandy,Regular Brandy,McDowell No.1 Brandy,238.99,11,178.09,13.35,Howrah,East,West Bengal
ORD100135,12-01-2025,Kingfisher,Vodka,Classic Vodka,Absolut Blue,107.49,1,13.74,-14.96,Mangalore,South,Karnataka
ORD100136,03-05-2024,Old Monk,Brandy,Regular Brandy,Mansion House,426.46,3,82.88,17.35,Mangalore,South,Karnataka
ORD100137,18-10-2021,McDowell No.1,Beer,Strong Beer,Kingfisher Strong,383.48,10,416.08,-0.17,Chennai,South,Tamil Nadu
ORD100138,29-02-2024,Bira 91,Beer,Strong Beer,Kingfisher Strong,1773.24,9,2543.8,20.52,Siliguri,East,West Bengal
ORD100139,08-05-2021,Antiquity Blue,Vodka,Flavored Vodka,Smirnoff Green Apple,2473.86,9,3760.43,3.92,Mumbai,West,Maharashtra
ORD100140,20-06-2024,Antiquity Blue,Brandy,Regular Brandy,Mansion House,679.33,8,963.53,12.8,Delhi,North,Delhi
ORD100141,18-12-2024,Bira 91,Whisky,Scotch,Glenfiddich 12,1998.33,8,2768.52,3.61,Mysuru,South,Karnataka
ORD100142,01-06-2022,Royal Stag,Rum,White Rum,Bacardi Carta Blanca,956.21,4,244.7,-3.55,Madurai,South,Tamil Nadu
ORD100143,09-06-2022,Kingfisher,Rum,White Rum,Havana Club Anejo 3,2450.02,2,363.27,2.5,Mysuru,South,Karnataka
ORD100144,02-03-2022,McDowell No.1,Vodka,Flavored Vodka,Absolut Raspberry,907.82,7,802.73,-1.16,Howrah,East,West Bengal
ORD100145,25-10-2021,McDowell No.1,Beer,Mild Beer,Bira 91 Blonde,187.49,8,119.65,21.06,Coimbatore,South,Tamil Nadu
ORD100146,15-02-2021,McDowell No.1,Beer,Strong Beer,Thunderbolt,2252.9,4,747.57,11.59,Chennai,South,Tamil Nadu
ORD100147,06-04-2021,Blenders Pride,Beer,Strong Beer,Kingfisher Strong,1414.23,4,976.77,2,Amritsar,North,Punjab
ORD100148,25-01-2024,Royal Stag,Beer,Strong Beer,Thunderbolt,1197.1,12,1514.29,7.59,Amritsar,North,Punjab
ORD100149,12-08-2020,Budweiser,Rum,White Rum,Havana Club Anejo 3,1159.82,9,1834.72,5.12,Madurai,South,Tamil Nadu
ORD100150,23-09-2021,Bira 91,Whisky,Scotch,Glenfiddich 12,1606.66,8,1679.22,-3.15,Mysuru,South,Karnataka
ORD100151,22-02-2023,Kingfisher,Vodka,Classic Vodka,Magic Moments,125.9,10,90.47,-12.72,Ludhiana,North,Punjab
ORD100152,18-08-2023,Antiquity Blue,Beer,Strong Beer,Knock Out,1299.99,2,399.59,4.27,Mumbai,West,Maharashtra
ORD100153,02-10-2022,Budweiser,Vodka,Flavored Vodka,Smirnoff Green Apple,963.47,7,574.75,19.31,Pune,West,Maharashtra
ORD100154,29-03-2022,Old Monk,Whisky,Scotch,Ballantine’s Finest,894.35,11,1388.51,12.66,Delhi,North,Delhi
ORD100155,23-07-2022,Blenders Pride,Rum,Dark Rum,McDowell’s Celebration,2199.4,4,1179.89,-9.46,Bengaluru,South,Karnataka
ORD100156,01-06-2024,Kingfisher,Beer,Mild Beer,Budweiser,522.97,7,270.73,4.39,Delhi,North,Delhi
ORD100157,31-05-2021,Bira 91,Whisky,Blended,Royal Challenge,327.17,6,202.71,-11.11,Howrah,East,West Bengal
ORD100158,09-07-2021,Kingfisher,Brandy,Regular Brandy,Old Admiral,1573.83,6,1694.52,0.43,Ludhiana,North,Punjab
ORD100159,29-11-2024,Budweiser,Beer,Strong Beer,Thunderbolt,1897.64,1,226.16,21.99,Delhi,North,Delhi
ORD100160,20-07-2024,Budweiser,Rum,White Rum,Bacardi Carta Blanca,1033.44,5,396.21,-11.47,Delhi,North,Delhi
ORD100161,18-02-2021,Royal Stag,Rum,White Rum,Havana Club Anejo 3,2484.67,5,1083.15,-4.86,Mysuru,South,Karnataka
ORD100162,13-03-2023,Kingfisher,Vodka,Flavored Vodka,Smirnoff Green Apple,1230.9,2,164.7,1.59,Siliguri,East,West Bengal
ORD100163,09-04-2022,Kingfisher,Vodka,Flavored Vodka,Magic Moments Orange,1895.68,4,1132.98,13.51,Amritsar,North,Punjab
ORD100164,07-04-2025,Blenders Pride,Rum,Dark Rum,Captain Morgan,200.99,1,23.75,9.27,Howrah,East,West Bengal
ORD100165,30-11-2020,Antiquity Blue,Vodka,Classic Vodka,Absolut Blue,747.67,12,1261.38,16.36,Bengaluru,South,Karnataka
ORD100166,15-04-2023,Old Monk,Rum,White Rum,Bacardi Carta Blanca,271.88,10,415.84,6.77,Ludhiana,North,Punjab
ORD100167,29-07-2023,Royal Stag,Beer,Strong Beer,Thunderbolt,2030.73,10,2658.23,-12.52,Coimbatore,South,Tamil Nadu
ORD100168,12-08-2023,Bira 91,Whisky,Scotch,Ballantine’s Finest,1581.26,4,471.26,24.11,Mumbai,West,Maharashtra
ORD100169,22-02-2025,Bira 91,Brandy,Cognac,Martell VS,151.04,4,89.85,17.11,Pune,West,Maharashtra
ORD100170,31-01-2024,Blenders Pride,Whisky,Blended,Royal Challenge,1150.81,4,676.27,7.52,Delhi,North,Delhi
ORD100171,09-05-2022,Budweiser,Beer,Mild Beer,Kingfisher Premium,896.59,9,747.9,-8.17,Delhi,North,Delhi
ORD100172,08-04-2022,Blenders Pride,Brandy,Regular Brandy,Mansion House,346.05,10,183.16,-12.54,Mangalore,South,Karnataka
ORD100173,27-07-2022,McDowell No.1,Vodka,Classic Vodka,Absolut Blue,302.81,5,101.73,22.64,Madurai,South,Tamil Nadu
ORD100174,08-05-2021,Kingfisher,Beer,Strong Beer,Kingfisher Strong,1107.69,12,960.26,6.49,Ludhiana,North,Punjab
ORD100175,04-11-2022,Kingfisher,Brandy,Regular Brandy,McDowell No.1 Brandy,216.08,5,75.09,20.41,Ludhiana,North,Punjab
ORD100176,10-02-2021,Old Monk,Rum,White Rum,Havana Club Anejo 3,1507.84,6,1208.04,-10.91,Mangalore,South,Karnataka
ORD100177,25-04-2021,Old Monk,Rum,Dark Rum,Old Monk Gold Reserve,2266.71,1,365.94,-8.59,Coimbatore,South,Tamil Nadu
ORD100178,14-02-2021,Antiquity Blue,Whisky,Single Malt,Paul John Brilliance,1854.56,3,367.9,2.72,Coimbatore,South,Tamil Nadu
ORD100179,06-04-2023,Old Monk,Brandy,Regular Brandy,McDowell No.1 Brandy,1313.78,10,1150.29,24.35,Nagpur,West,Maharashtra
ORD100180,19-12-2021,Budweiser,Brandy,Cognac,Martell VS,491.96,3,138.02,13.97,Kolkata,East,West Bengal
ORD100181,09-05-2021,Blenders Pride,Beer,Strong Beer,Kingfisher Strong,607.42,1,31.95,24.87,Nagpur,West,Maharashtra
ORD100182,28-03-2025,Bira 91,Beer,Strong Beer,Kingfisher Strong,1160.7,4,690.9,-3.88,Siliguri,East,West Bengal
ORD100183,30-06-2023,Royal Stag,Rum,White Rum,Malibu,1544.1,10,2428.49,8.42,Coimbatore,South,Tamil Nadu
ORD100184,13-06-2021,Kingfisher,Brandy,Cognac,Remy Martin VSOP,1951.05,12,3975.42,19.33,Ludhiana,North,Punjab
ORD100185,12-01-2023,Kingfisher,Beer,Strong Beer,Kingfisher Strong,2247.05,5,1516.26,14.76,Madurai,South,Tamil Nadu
ORD100186,08-08-2023,Antiquity Blue,Whisky,Blended,Blenders Pride Reserve,487.97,7,286.62,-13.62,Amritsar,North,Punjab
ORD100187,10-04-2025,McDowell No.1,Vodka,Classic Vodka,Smirnoff No.21,1736.57,2,196.57,2.24,Nagpur,West,Maharashtra
ORD100188,19-05-2020,Budweiser,Rum,White Rum,Malibu,1188.32,9,831.4,2,Howrah,East,West Bengal
ORD100189,04-01-2023,Budweiser,Brandy,Regular Brandy,Mansion House,2303.83,11,3600.51,-14.57,Mysuru,South,Karnataka
ORD100190,22-11-2020,Budweiser,Rum,White Rum,Havana Club Anejo 3,1386.8,7,1117.23,10.38,Bengaluru,South,Karnataka
ORD100191,03-12-2024,Kingfisher,Rum,White Rum,Bacardi Carta Blanca,257.71,3,114.9,12.34,Nagpur,West,Maharashtra
ORD100192,24-12-2021,Old Monk,Whisky,Single Malt,Paul John Brilliance,470.91,5,403.73,-12.05,Coimbatore,South,Tamil Nadu
ORD100193,01-09-2023,Antiquity Blue,Brandy,Regular Brandy,Old Admiral,1878.82,2,483.4,4.91,Mysuru,South,Karnataka
ORD100194,21-12-2023,Antiquity Blue,Vodka,Flavored Vodka,Absolut Raspberry,366.9,12,532.57,-5.89,Chennai,South,Tamil Nadu
ORD100195,01-02-2023,Royal Stag,Vodka,Flavored Vodka,Magic Moments Orange,1729,9,1151.3,-3.29,Delhi,North,Delhi
ORD100196,22-06-2023,Bira 91,Beer,Mild Beer,Budweiser,1906.54,7,2169.47,-8.09,Mumbai,West,Maharashtra
ORD100197,10-06-2021,Budweiser,Rum,Dark Rum,McDowell’s Celebration,828.57,8,821.15,-2.4,Madurai,South,Tamil Nadu
